Gloss,Count
PASSEN,37
SCHRIKKEN-A,37
VERTICALE-CYLINDER-A,37
BOOS-A,37
KLOPT-C,36
PT-arc,36
KLEREN-B,36
TWEETALIG,36
DEEL-A,36
JONGEN-A,36
WACHTEN-A,35
DANSEN-B,35
MUZIEK,35
BE+0,35
LIJN-A,35
BOEK,35
HANDEN-WRIJVEN-A,35
DOKTER-A,34
VROEGER-B,34
HALLO,34
ZITTEN-A,34
FEEST-A,34
GROOT-HORIZONTAAL-D,34
VER,34
BEDOELEN-IK,34
HEBBEN-C,33
GEVEN-B,33
ALLEMAAL-B,33
ALLEEN-A,33
DOM-A,33
OPEN-A,33
BEDENKEN,33
BRUS-A,33
VERSPREIDEN-B,32
AFHANKELIJK-A,32
GELOVEN-A,32
VOGELKOOI-A,32
KLIMMEN-A,32
VAAK,31
STEL-B,31
HALF-A,31
SCHRIKKEN-B,31
VLEES-A,31
ENZOVOORTS-B,31
100-A,30
GENOEG,30
VERZOEKEN,30
BIJ-D,30
WATER-A,30
OMGAAN-A,30
GISTEREN,30
KLEIN-HORIZONTAAL-B,30
STIL-A,29
ONTWIKKELEN-B,29
FILMEN-A,29
ALS-A,29
ZWEMMEN-A,29
EINDELIJK-A,29
ZORGEN-A,29
HOE-C,29
2.ORD,28
LOSLATEN,28
IJSBEREN,28
NAAM-A,28
ONDERZOEKEN,28
AMERIKA,28
PRATEN-E,28
NIEUWSGIERIG,27
ENZOVOORTS-C,27
VERSPREIDEN-A,27
GROOT-VERTICAAL-C,27
BE+1,26
SLEUTEL,26
NAAST,25
LAND-A,25
SORRY-D,25
BABY,25
GEVEN-A,25
TWEEEN-C,25
WEGGAAN-B,25
DENKEN,24
GEVEN-C,24
GEBAREN-B,24
AFHANKELIJK-D,24
LUI,24
DRAW_1,24
WEEKEND-A,24
SLAAN-A,24
ENGELAND-A,24
DOORGAAN,24
PERSOONLIJK,24
VLUCHTEN,23
VAN-TOT-A,23
WAKKER,23
NADENKEN-B,23
UITLEGGEN,23
WEG-E,23
VERANDEREN-E,23
BUITEN-A,23
ENZOVOORTS-D,22
